measured_at,wind_power_production
2021-01-01 00:00:00+00:00,201.0
2021-01-01 01:00:00+00:00,187.0
2021-01-01 02:00:00+00:00,183.0
2021-01-01 03:00:00+00:00,183.0
2021-01-01 04:00:00+00:00,201.0
2021-01-01 05:00:00+00:00,211.0
2021-01-01 06:00:00+00:00,192.0
2021-01-01 07:00:00+00:00,156.0
2021-01-01 08:00:00+00:00,144.0
2021-01-01 09:00:00+00:00,134.0
2021-01-01 10:00:00+00:00,127.0
2021-01-01 11:00:00+00:00,118.0
2021-01-01 12:00:00+00:00,119.0
2021-01-01 13:00:00+00:00,118.0
2021-01-01 14:00:00+00:00,96.0
2021-01-01 15:00:00+00:00,95.0
2021-01-01 16:00:00+00:00,109.0
2021-01-01 17:00:00+00:00,89.0
2021-01-01 18:00:00+00:00,74.0
2021-01-01 19:00:00+00:00,78.0
2021-01-01 20:00:00+00:00,72.0
2021-01-01 21:00:00+00:00,81.0
2021-01-01 22:00:00+00:00,76.0
2021-01-01 23:00:00+00:00,55.0
2021-01-02 00:00:00+00:00,42.0
2021-01-02 01:00:00+00:00,48.0
2021-01-02 02:00:00+00:00,56.0
2021-01-02 03:00:00+00:00,72.0
2021-01-02 04:00:00+00:00,78.0
2021-01-02 05:00:00+00:00,82.0
2021-01-02 06:00:00+00:00,92.0
2021-01-02 07:00:00+00:00,109.0
2021-01-02 08:00:00+00:00,130.0
2021-01-02 09:00:00+00:00,152.0
2021-01-02 10:00:00+00:00,202.0
2021-01-02 11:00:00+00:00,256.0
2021-01-02 12:00:00+00:00,279.0
2021-01-02 13:00:00+00:00,339.0
2021-01-02 14:00:00+00:00,381.0
2021-01-02 15:00:00+00:00,414.0
2021-01-02 16:00:00+00:00,439.0
2021-01-02 17:00:00+00:00,458.0
2021-01-02 18:00:00+00:00,465.0
2021-01-02 19:00:00+00:00,501.0
2021-01-02 20:00:00+00:00,561.0
2021-01-02 21:00:00+00:00,583.0
2021-01-02 22:00:00+00:00,572.0
2021-01-02 23:00:00+00:00,538.0
2021-01-03 00:00:00+00:00,547.0
2021-01-03 01:00:00+00:00,586.0
2021-01-03 02:00:00+00:00,618.0
2021-01-03 03:00:00+00:00,645.0
2021-01-03 04:00:00+00:00,611.0
2021-01-03 05:00:00+00:00,581.0
2021-01-03 06:00:00+00:00,584.0
2021-01-03 07:00:00+00:00,562.0
2021-01-03 08:00:00+00:00,559.0
2021-01-03 09:00:00+00:00,551.0
2021-01-03 10:00:00+00:00,549.0
2021-01-03 11:00:00+00:00,567.0
2021-01-03 12:00:00+00:00,570.0
2021-01-03 13:00:00+00:00,597.0
2021-01-03 14:00:00+00:00,589.0
2021-01-03 15:00:00+00:00,533.0
2021-01-03 16:00:00+00:00,509.0
2021-01-03 17:00:00+00:00,489.0
2021-01-03 18:00:00+00:00,524.0
2021-01-03 19:00:00+00:00,625.0
2021-01-03 20:00:00+00:00,674.0
